name,weight,price
Toys,7,25
Paintings,1,16
Newspapers,29,50
Carrots,45,6
Sugar products,21,62
Paintings,1,16
Table Salt,5,38
Onions,8,7
Mopeds,39,44
Yogurt,7,1
Action Figures,45,25
Grapes,44,45
Frozen Vegetables,39,46
Perfume,20,21
Cake,15,5
Soft Drinks,27,67
Broccoli,6,7
Lard,35,68
Salads,6,3
Tortillas,4,32
Soup Mixes,9,31
Perfume,20,21
Perfume,20,21
Soft Drinks,27,67
Tofu,10,14
Citrus Fruits,41,55
Chiles,18,32
Baby Carriages,17,9
Artichokes,4,20
Veal,19,28
Onions,8,7
Eggplants,42,53
Pome Fruits,9,50
Soap,30,54
Gherkins,18,43
Beef,28,14
Motorcycles,19,22
Computers,28,11
Veal,19,28
Mushrooms,18,8
Avocados,29,33
Margarine,1,12
Dolls,29,44
Kitchenware,15,24
Green Leguminous Vegetables,42,10
Batteries,13,18
Potatoes,37,7
Pork,18,13
Stuffed Animals,40,69
Soap,30,54
