X,Dynamic Programming Value,Greedy Solution Value,Dynamic Programming Time,Greedy Solution Time,
1,0,372,0.0,0.0,
2,0,736,0.0,0.0,
3,373,2219,0.0,0.0,
4,292,1398,0.0,0.0,
5,704,2018,0.0,0.0,
6,0,1715,0.0,0.0,
7,419,2123,0.015625,0.0,
8,0,1540,0.015625,0.0,
9,1761,1733,0.0,0.0,
10,2173,1803,0.015625,0.0,
11,1824,909,0.03125,0.0,
12,3666,2267,0.03125,0.0,
13,4805,2703,0.046875,0.0,
14,3766,3429,0.046875,0.0,
15,5371,1773,0.0625,0.0,
16,6663,3946,0.0625,0.0,
17,5867,3417,0.09375,0.0,
18,4992,4246,0.109375,0.0,
19,7589,3628,0.140625,0.0,
20,6960,4750,0.140625,0.0,
21,7686,3275,0.1875,0.0,
22,7717,5440,0.203125,0.0,
23,6488,1980,0.171875,0.0,
24,8003,3092,0.265625,0.015625,
25,10816,4049,0.3125,0.0,
26,7677,2977,0.328125,0.0,
27,13051,7432,0.46875,0.0,
28,9742,4388,0.4375,0.0,
29,10573,3732,0.46875,0.0,
30,11482,6569,0.640625,0.0,
31,13435,8369,0.75,0.0,
32,12283,6206,0.640625,0.0,
33,13541,5599,0.859375,0.0,
34,11194,7044,0.828125,0.015625,
35,8957,4646,0.75,0.0,
36,11935,4857,0.96875,0.0,
37,13715,5922,1.21875,0.0,
38,13028,3254,1.28125,0.0,
39,19604,4706,1.859375,0.0,
40,15516,8479,1.71875,0.0,
41,20315,4778,2.1875,0.0,
42,20451,5730,2.390625,0.0,
43,13985,6819,1.75,0.0,
44,20922,5806,2.75,0.0,
45,18802,9500,2.328125,0.015625,
46,19924,5848,2.875,0.0,
47,20977,5195,2.96875,0.0,
48,15364,6579,2.828125,0.0,
49,13773,5947,2.734375,0.0,
50,19643,6913,3.71875,0.0,
51,23895,11371,4.328125,0.0,
52,23062,12966,3.65625,0.0,
53,20741,4123,4.640625,0.0,
54,25686,8593,4.6875,0.0,
55,22927,6120,5.359375,0.015625,
56,18644,6352,4.328125,0.0,
57,22806,15834,5.78125,0.0,
58,23673,7361,5.484375,0.0,
59,22806,12283,5.515625,0.0,
60,27932,13333,6.171875,0.0,
61,26831,11757,8.09375,0.0,
62,22221,8053,6.703125,0.015625,
63,26070,14053,6.390625,0.0,
64,25748,10204,7.203125,0.0,
65,22358,7142,7.890625,0.0,
66,28921,10020,8.421875,0.0,
67,25476,9337,7.953125,0.0,
68,29392,12925,10.6875,0.0,
69,22391,4377,8.515625,0.015625,
70,31412,16408,10.0,0.0,
71,38833,5943,10.984375,0.0,
72,27339,17581,9.09375,0.0,
73,38794,14116,14.3125,0.0,
74,21032,4711,8.90625,0.015625,
75,28478,15772,10.671875,0.0,
76,21770,10410,10.484375,0.0,
77,37005,11005,15.796875,0.0,
78,34080,12593,16.0,0.0,
79,29559,16690,17.234375,0.0,
80,32610,8096,14.25,0.015625,
81,40372,15653,18.9375,0.0,
82,33408,9274,14.78125,0.0,
83,33599,7889,15.84375,0.0,
84,45243,20602,21.296875,0.0,
85,46528,10540,20.046875,0.015625,
86,18993,10800,11.375,0.0,
87,41175,11795,22.5,0.0,
88,34881,17087,20.421875,0.015625,
89,54778,18363,30.171875,0.0,
90,53910,13211,32.140625,0.0,
91,34025,6379,20.140625,0.0,
92,42772,10761,25.296875,0.0,
93,53141,13338,28.328125,0.015625,
94,42490,11661,28.734375,0.0,
95,31886,7848,24.796875,0.0,
96,37157,9049,25.53125,0.0,
97,36225,14015,26.203125,0.015625,
98,56161,24573,38.40625,0.0,
99,35675,12161,27.359375,0.0,
100,43257,18565,33.984375,0.015625,
101,38764,12081,28.546875,0.0,
102,33791,12755,33.203125,0.0,
103,41386,12931,38.140625,0.0,
104,53700,22429,41.453125,0.015625,
105,40913,17298,39.140625,0.0,
106,58289,14793,44.890625,0.015625,
107,46163,18959,33.859375,0.0,
108,32930,6654,33.484375,0.0,
109,48199,19273,40.640625,0.015625,
110,35091,16811,32.65625,0.0,
111,30596,10238,25.5625,0.0,
112,52160,19416,43.578125,0.015625,
113,49360,16470,44.921875,0.0,
114,33639,10705,41.6875,0.0,
115,41714,15794,38.125,0.015625,
116,41695,14986,36.25,0.0,
117,60223,9235,54.6875,0.0,
118,52064,17110,56.875,0.015625,
119,65060,17790,63.21875,0.0,
120,43357,13245,44.609375,0.0,
121,49004,19672,57.78125,0.015625,
122,59164,22623,81.40625,0.0,
123,41651,14522,54.3125,0.015625,
124,51050,18793,60.28125,0.015625,
125,47224,32174,57.65625,0.015625,
126,46719,20891,53.140625,0.015625,
127,56243,27328,75.734375,0.0,
128,65463,33744,71.640625,0.015625,
129,62877,12750,71.78125,0.0,
130,67341,11387,71.40625,0.015625,
131,55693,18758,67.75,0.0,
132,57669,14916,84.828125,0.0,
133,64894,27846,89.28125,0.015625,
134,61628,24799,86.375,0.015625,
135,43982,18336,71.15625,0.0,
136,51629,29782,77.53125,0.015625,
137,64002,16305,86.640625,0.0,
138,53121,9181,80.65625,0.0,
139,62703,12558,99.28125,0.015625,
140,53563,28598,111.328125,0.015625,
141,63683,28098,100.4375,0.0,
142,53141,16197,93.53125,0.015625,
143,41974,16289,86.359375,0.0,
144,55132,13682,86.6875,0.0,
145,44517,15528,82.390625,0.015625,
146,61592,23640,107.21875,0.015625,
147,49494,13668,111.71875,0.0,
148,49750,25521,84.6875,0.015625,
149,80044,15830,111.3125,0.0,
150,68974,23126,108.140625,0.015625,
